"ID","EID","SF","LACT","Event","AGE","Date","Remark","Protocols","Technician"
1030134,"-               ",1,0,"PNEUMON    ",131,2025-01-02,"NUF/BANA"," Nuflor+Banamine"," Pablo"
1030140,"-               ",1,0,"PINKEYE    ",130,2025-01-02,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030140,"-               ",1,0,"PINKEYE    ",133,2025-01-05,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030142,"840003287383903",1,0,"PINKEYE    ",132,2025-01-04,"DEXA/PEN"," Dexameth\Penici"," Pedro"
1030142,"840003287383903",1,0,"PINKEYE    ",136,2025-01-08,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030142,"840003287383903",1,0,"PINKEYE    ",139,2025-01-11,"DEXA/PEN"," Dexameth\Penici"," Pedro"
1030144,"-               ",1,0,"PNEUMON    ",131,2025-01-03,"NUF/BANA"," Nuflor+Banamine"," Luis"
1030144,"-               ",1,0,"PNEUMON    ",134,2025-01-06,"DRAXXIN         "," Draxxin        "," Luis"
1030148,"840003287384022",1,0,"PINKEYE    ",134,2025-01-06,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030149,"-               ",1,0,"PINKEYE    ",133,2025-01-05,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030158,"-               ",1,0,"PNEUMON    ",135,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030160,"840003287384074",1,0,"FEVER      ",132,2025-01-05,"BANAMINE        "," Banamine       "," "
1030161,"-               ",1,0,"PINKEYE    ",128,2025-01-01,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030170,"-               ",1,0,"PINKEYE    ",127,2025-01-01,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030176,"-               ",1,0,"PINKEYE    ",134,2025-01-08,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030178,"840003287384252",1,0,"PNEUMON    ",128,2025-01-02,"DRAXXIN         "," Draxxin        "," Pablo"
1030179,"840003287384251",1,0,"PNEUMON    ",135,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030190,"840003287384264",1,0,"PNEUMON    ",130,2025-01-05,"DRAXXIN         "," Draxxin        "," Luis"
1030191,"-               ",1,0,"PNEUMON    ",126,2025-01-01,"NUF/BANA"," Nuflor+Banamine"," Fransisco"
1030193,"840003287384265",1,0,"PNEUMON    ",132,2025-01-08,"DRAXXIN         "," Draxxin        "," Pablo"
1030197,"-               ",1,0,"PNEUMON    ",125,2025-01-01,"BAY/BANA"," Baytril+Banamin"," Fransisco"
1030197,"-               ",1,0,"PNEUMON    ",132,2025-01-08,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030201,"840003287383954",1,0,"PNEUMON    ",135,2025-01-11,"DRAXXIN         "," Draxxin        "," Pedro"
1030207,"-               ",1,0,"PNEUMON    ",129,2025-01-05,"NUF/BANA"," Nuflor+Banamine"," Luis"
1030208,"-               ",1,0,"PNEUMON    ",126,2025-01-03,"NUF/BANA"," Nuflor+Banamine"," Luis"
1030214,"-               ",1,0,"PNEUMON    ",128,2025-01-05,"NUF/BANA"," Nuflor+Banamine"," Luis"
1030219,"840003287383913",1,0,"PNEUMON    ",132,2025-01-10,"DRAXXIN         "," Draxxin        "," Pablo"
1030225,"-               ",1,0,"PNEUMON    ",130,2025-01-08,"DRAXXIN         "," Draxxin        "," Luis"
1030230,"840003287383925",1,0,"PINKEYE    ",124,2025-01-02,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030232,"-               ",1,0,"PINKEYE    ",133,2025-01-11,"DEXA/PEN"," Dexameth\Penici"," Pedro"
1030240,"840003287383971",1,0,"PNEUMON    ",131,2025-01-10,"DRAXXIN         "," Draxxin        "," Pablo"
1030242,"-               ",1,0,"PNEUMON    ",125,2025-01-04,"BAY/BANA"," Baytril+Banamin"," Luis"
1030245,"840003287383976",1,0,"PNEUMON    ",126,2025-01-06,"DRAXXIN         "," Draxxin        "," Pablo"
1030245,"840003287383976",1,0,"PNEUMON    ",129,2025-01-09,"BAY/BANA"," Baytril+Banamin"," Pablo"
1030247,"-               ",1,0,"PNEUMON    ",123,2025-01-03,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030254,"840003287383981",1,0,"PNEUMON    ",121,2025-01-01,"BAY/BANA"," Baytril+Banamin"," Pablo"
1030254,"840003287383981",1,0,"PNEUMON    ",122,2025-01-02,"ZAC/BANA"," Zacran+Banamine"," Pablo"
1030254,"840003287383981",1,0,"PNEUMON    ",126,2025-01-06,"NUF/BANA"," Nuflor+Banamine"," Pablo"
1030255,"840003287383931",1,0,"PNEUMON    ",125,2025-01-05,"BAY/BANA"," Baytril+Banamin"," Luis"
1030255,"840003287383931",1,0,"PNEUMON    ",129,2025-01-09,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030257,"-               ",1,0,"PNEUMON    ",121,2025-01-01,"NUF/BANA"," Nuflor+Banamine"," Luis"
1030268,"-               ",1,0,"PNEUMON    ",123,2025-01-04,"BAY/BANA"," Baytril+Banamin"," Luis"
1030269,"840003287383946",1,0,"PINKEYE    ",126,2025-01-08,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030269,"840003287383946",1,0,"PINKEYE    ",129,2025-01-11,"DEXA/PEN"," Dexameth\Penici"," Pedro"
1030269,"840003287383946",1,0,"PNEUMON    ",129,2025-01-11,"DRAXXIN         "," Draxxin        "," Pedro"
1030271,"-               ",1,0,"PNEUMON    ",119,2025-01-01,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030271,"-               ",1,0,"FEVER      ",121,2025-01-03,"BANAMINE        "," Banamine       "," "
1030271,"-               ",1,0,"PNEUMON    ",126,2025-01-08,"NUF/BANA"," Nuflor+Banamine"," Luis"
1030272,"-               ",1,0,"PNEUMON    ",127,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030276,"840003287383941",1,0,"PNEUMON    ",129,2025-01-11,"DRAXXIN         "," Draxxin        "," Pedro"
1030278,"-               ",1,0,"PNEUMON    ",122,2025-01-04,"BAY/BANA"," Baytril+Banamin"," Luis"
1030281,"-               ",1,0,"PNEUMON    ",118,2025-01-01,"NUF/BANA"," Nuflor+Banamine"," Pablo"
1030282,"840003287384043",1,0,"PNEUMON    ",118,2025-01-01,"NUF/BANA"," Nuflor+Banamine"," Luis"
1030283,"-               ",1,0,"PNEUMON    ",126,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030284,"840003287384035",1,0,"PNEUMON    ",128,2025-01-11,"DRAXXIN         "," Draxxin        "," Luis"
1030285,"-               ",1,0,"PNEUMON    ",123,2025-01-06,"DRAXXIN         "," Draxxin        "," Luis"
1030292,"-               ",1,0,"PINKEYE    ",125,2025-01-09,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030295,"-               ",1,0,"PNEUMON    ",121,2025-01-05,"BAY/BANA"," Baytril+Banamin"," Luis"
1030295,"-               ",1,0,"PINKEYE    ",125,2025-01-09,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030296,"840003287384231",1,0,"PINKEYE    ",122,2025-01-06,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030296,"840003287384231",1,0,"PINKEYE    ",125,2025-01-09,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030297,"840003287384038",1,0,"PNEUMON    ",125,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030298,"-               ",1,0,"PINKEYE    ",122,2025-01-06,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030300,"840003287384233",1,0,"PNEUMON    ",124,2025-01-08,"DRAXXIN         "," Draxxin        "," Pablo"
1030301,"-               ",1,0,"PNEUMON    ",125,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030305,"-               ",1,0,"PNEUMON    ",125,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030306,"840003287384249",1,0,"PINKEYE    ",122,2025-01-06,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030306,"840003287384249",1,0,"PINKEYE    ",125,2025-01-09,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030307,"-               ",1,0,"PNEUMON    ",121,2025-01-05,"DRAXXIN         "," Draxxin        "," Luis"
1030309,"840003287384236",1,0,"PINKEYE    ",117,2025-01-01,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030309,"840003287384236",1,0,"PNEUMON    ",125,2025-01-09,"DRAXXIN         "," Draxxin        "," Pablo"
1030309,"840003287384236",1,0,"FEVER      ",127,2025-01-11,"BANAMINE        "," Banamine       "," Pedro"
1030310,"840003287384237",1,0,"FEVER      ",116,2025-01-01,"BANAMINE        "," Banamine       "," "
1030310,"840003287384237",1,0,"PNEUMON    ",120,2025-01-05,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030312,"840003287384245",1,0,"PNEUMON    ",119,2025-01-04,"DRAXXIN         "," Draxxin        "," Luis"
1030313,"-               ",1,0,"PNEUMON    ",124,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030316,"840003287384240",1,0,"FEVER      ",116,2025-01-01,"BANAMINE        "," Banamine       "," "
1030316,"840003287384240",1,0,"PNEUMON    ",120,2025-01-05,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030323,"840003287384278",1,0,"PNEUMON    ",116,2025-01-02,"ZAC/BANA"," Zacran+Banamine"," Pablo"
1030323,"840003287384278",1,0,"PNEUMON    ",120,2025-01-06,"NUF/BANA"," Nuflor+Banamine"," Luis"
1030326,"-               ",1,0,"PINKEYE    ",120,2025-01-06,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030331,"-               ",1,0,"PNEUMON    ",121,2025-01-08,"NUF/BANA"," Nuflor+Banamine"," Luis"
1030332,"-               ",1,0,"PINKEYE    ",115,2025-01-02,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030332,"-               ",1,0,"PINKEYE    ",119,2025-01-06,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030333,"840003287384289",1,0,"PNEUMON    ",115,2025-01-02,"NUF/BANA"," Nuflor+Banamine"," Alejandro"
1030334,"-               ",1,0,"PNEUMON    ",118,2025-01-05,"DRAXXIN         "," Draxxin        "," Luis"
1030336,"-               ",1,0,"PINKEYE    ",115,2025-01-02,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030338,"840003297405051",1,0,"PINKEYE    ",114,2025-01-01,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030339,"840003287384187",1,0,"DIARHEA    ",114,2025-01-01,"BAYTRIL         "," Baytril        "," Fransisco"
1030339,"840003287384187",1,0,"FEVER      ",114,2025-01-01,"BANAMINE        "," Banamine       "," Luis"
1030339,"840003287384187",1,0,"PNEUMON    ",119,2025-01-06,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030342,"-               ",1,0,"PNEUMON    ",122,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030343,"-               ",1,0,"PINKEYE    ",117,2025-01-04,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030343,"-               ",1,0,"PINKEYE    ",122,2025-01-09,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030345,"-               ",1,0,"EARS       ",115,2025-01-02," NUF/RES"," Nuflor+Resflor "," Pablo"
1030346,"-               ",1,0,"PNEUMON    ",119,2025-01-06,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030348,"-               ",1,0,"PINKEYE    ",123,2025-01-11,"DEXA/PEN"," Dexameth\Penici"," Luis"
